place_id,name,lat,lon,average_rating,total_review_count,earliest_available_review_date,review_1_text,review_2_text,review_3_text,review_4_text,review_5_text
ChIJl8RoSJAx2jARN9OeN4PZ0Us,อินทนิล คอฟฟี่ แม่เหียะ,18.758218799999998,98.942222,4.9,20,2024-01-20,Great big cafe. Tables inside and outside. Tasty coffee. Friendly service.,"🐴 it is very nice coffee shop Convenient clean, comfortable relax 🪲 The price is cheap. Comfortable environment .","Great coffee and other drinks , thai tea , misc food items , new place worthy of a stop.",Huge place. Nice and quiet. Good coffee. Beautiful garden with misters.,"This branch is very beautiful. There are plenty of seats, both indoors with air conditioning and outdoors. The staff are very helpful and polite. There's lots of parking and the Wi-Fi is strong. I love it!
The restrooms are also very clean."
ChIJkx49Ym0x2jARUDbrj6nZAJY,Highway 121 Coffee Shop CNX | ไฮเวย์ 121 คอฟฟี่ ช็อป,18.758721899999998,98.9434782,4.9,39,2024-11-18,"Good coffee, great service, great staff, great view of the mountains, they even feed the cute dogs. I recommend it.","Very friendly staff. We received free samples of green tea. I ordered ice coffee with yuzu soda. It was amazing. Very fresh with citrus jelly that taste like delicious Boba. Prices are very reasonable, better than anything in town. Highly recommend👍","Perfect taste of handmade pressed coffee. Good selection of roasts. Friendly owners and baristas.
Remember they are closed Thursdays. But the coffee is worth your time to come.",Cute little coffee shop along canal road. Grab a drink on the go or have a seat in their comfy camping chairs. Also carries oat milk.,"Favourite coffee shop in CNX
If you in the area, check it out - one of the best coffee in town, you'll see"
ChIJ1xTBAAAx2jARG2fpSEEZpX4,HO-SHI @Novel CMU,18.759682599999998,98.9389202,5.0,1,2026-03-10,,,,,
ChIJ13nW40cx2jARWyD6tQnSwdc,ILYSB: ไอเลิฟยูโซแบด,18.760017899999998,98.9439802,4.7,120,2023-08-11,"ILYSB: ไอเลิฟยูโซแบด
Among over 500 coffee houses in Chiangmai, ILYSB admittedly stood out very prominently in terms of coffee served, atmosphere and location. It was conveniently located only 7 kms or 14 mins from Chiangmai University on Chiangmai Outer Ring Road (Chonprathan Road) with ample parking spaces provided at the front and back of the shop. Its professional baristas served a special blend of Brazilian and local grown coffee that gave a uniquely smooth taste and mellow aroma into each cup of its coffee served which guests could experience right away upon stepping in the shop. High-ceiling glass windows added warm daylight onto its minimalistic ambiance which black and white dominated its design while a few quiet corners at its shop encouraged working privately with own laptops.",The place gave a very good vibe and the coffee was amazing. One of the best latte so far. Highly recommend!,"Good Coffee, Brunch or Dinner!","I like this place, calm, stylish, good coffee to choose from, beautiful people

metal outdoor furniture combined with bamboo looks cool","Not bad. Have signatures menu for you to choose, large parking lot, comfy."
ChIJ7Tzt0-0w2jAROrH37N3V0-U,Zoomnokgao mae-hia cafe,18.753502900000004,98.95515669999999,5.0,25,2022-07-15,"A hidden gems cafe' where you shouldn't miss. Good taste coffee from a passionated barista and home-made bakery from his mom, very warmth welcome and feel like home. Jazz music from laser disc always best for spending many hours here 😉.",Great place to stop for a coffee and an awesome choice of music! Great vibes,"It is definitely the best coffee shop I have ever been to in Thailand. The owner was very generous and gave us two extra cups of coffee to try. The design of the shop is also very beautiful, and it is worth spending half a day enjoying coffee here",Very chill place. Great coffee and music with nice paintings,"Chill spot, great music playing, comfortable sofas"
ChIJ4TqUUAAx2jARwo2f56naVYU,WJ Café CNX,18.760630199999998,98.9548387,,,,,,,,
ChIJWZ-qAo0w2jAR2uxUf6HXWpw,Fernpresso Cafe,18.7608857,98.9603394,4.6,733,2022-12-28,"We got to sit  near the airport runway. Watch airplane take off and landing . So nice, coffee and red velvet are excellent.","Amazing place, the location is hidden so it’s not very crowded. I love to come here to work, however sometimes there are loud (non-Thai) customers that are very loud and ruin the peaceful experience. The cafe is 10/10, loud customers 0/10 🥹","Really good coffee quality with a super chill atmosphere… you are right next to the airport so you can see planes flying in/out of CM…
Overall if you are around the area, is a great option to get some great coffee and delicious food…",One of my favorite cafe in Chiang mai. Love the coffee and food.,"Beautiful place! It’s gorgeous. The ambiance makes it very charming. The service is excellent. They explained the menu to us and made some suggestions which we appreciated.
Coffee is great! The salmon sandwich was perfect.
Cake was delicious.
The place is well maintained because it’s actually situated within the residential compound of the owners.
It’s a must try!"
ChIJIaoap5Ax2jARghs2uymsRgE,ภพรักที่นี่ (LOVEtiny),18.7586515,98.95954139999999,4.6,68,2022-01-20,"LOVEtiny is a hidden gem in Mae Hia, Chiang Mai just behind Airport! The service is top-notch and the vibe is super chill – perfect for studying, working, or just hanging out. Love the cozy indoor spot, and the outdoor area is a bonus 🌳. The owner is super friendly and the whole crew makes you feel like you're at home 😊. Highly recommend for a productive day or a chill catch-up with friends!","Such a wonderful coffee shop — great coffee, a warm and welcoming vibe, and a perfectly pet-friendly atmosphere. It feels like a little home away from home.","Nice coffee in the fabulous atmosphere. I like having a cup of hot cappuccino in the garden in front of the building. Singing birds , colorful lotus and the pool behind the building are my favorite things.","Their blueberry cheesecake was delicious. Drinks were good. Prices are good, normal range. The cafe is spacious with big parking lot. You can sit outdoors and enjoy the fish pond.","A Hidden Gem for Coffee Lovers

This coffee shop has quickly become my favorite spot to relax and recharge. The prices are very reasonable, especially considering the peaceful and beautiful environment they offer.

The garden is absolutely lovely — filled with big trees that provide shade and a calming atmosphere. There’s a pond with fish that adds to the charm, and the sound of birds singing makes it feel like a peaceful escape from the city.

The staff here are always friendly and welcoming, which adds to the overall relaxing vibe. There’s also a big car park, so parking is never a problem. If you’re looking for a quiet place to enjoy your coffee and unwind, this is the perfect spot. Highly recommended!"
ChIJt4G97PMx2jARXs0vFY3um9w,Xinfuli Cafe,18.7609182,98.9577005,5.0,8,2020-02-26,Very good food and friendly owner. We had dinner here with some friends. Love everything here.,Very friendly owner. lovely Teddy  made some very good brownies. I like his hot latte and nice garden,"Great cafe, friendly owner and good coffee. Try the brownies!",Coffee is so good,Clean and friendly
ChIJScywZgAx2jARVjjRM2tEHXQ,The Parlor Coffee&Space,18.7555726,98.966634,5.0,223,2025-08-25,"A lovely café with a beautiful design and a calm, peaceful atmosphere. Perfect for relaxing, enjoying a drink, or spending quiet time away from the crowds. 🍹✨",This is a very nice place to enjoy a coffee and croissant,"Good place to refresh your day,, I will come back","nice surroundings , tasty drinks",Nice place 😍🥰😘
