place_id,name,lat,lon,average_rating,total_review_count,earliest_available_review_date,review_1_text,review_2_text,review_3_text,review_4_text,review_5_text
ChIJl9P3ZeYw2jARITYVQG3gR7k,7/129 คอฟฟี่,18.749530999999998,98.9568565,5.0,1,2022-04-11,,,,,
ChIJcWo1rkkx2jARklqjU7m2aoI,Nuchcy coffee & milk tea,18.749106200000003,98.95703089999999,5.0,6,2024-03-04,"This is my go-to local shop. The prices are great value. Their Thai tea is freshly brewed, not from powder. The Americano is reasonably priced and comes in a convenient sip cup. I'm very impressed; it's more than worth the price.",Very delicious and affordable.,,,
ChIJqXSNdQAx2jARKuprxGIPJdg,ME CAFE,18.751054,98.9560837,4.0,1,,,,,,
ChIJoRGmLRUx2jARDfe16n2oC_A,Koff’N Hops,18.751097599999998,98.9559379,4.3,10,2021-10-02,"This place is primarily frequented by guests from the neighbouring airport house and teens. While it has a nice atmosphere, the drinks seemed expensive for their size, and the Thai tea lacked authenticity. Additionally, there were no snack options available. Introducing a few simple food items to the menu could significantly enhance the overall experience.",One of the best Places to have coffee in Chiang Mai. They also have a varied choice of high quality spirits and beers.,"This is my favorite place for coffee and mocca. I take one almost every day. The place is also so chill and prices are very fair ❤️
If you want food you can also order next to it and eat it there.","Nice coffee and comfortable place for sitting
The coffee shop at the airport home condo
They support some snacks 😋
And selling some import beer at the mini mark also
Highly recommend 👌 👍 👏 💯💯",Great place for hard to find craft beer!
ChIJUzZP68Ax2jARN43qSM8nTYI,Ma-Yom 294 Cafe,18.748849699999997,98.9574014,5.0,1,2025-11-15,"A small cafe in Grandville Village, Mae Hia, Chiang Mai. Very cheap. Recommended menu items include cocoa, fresh milk, Milo, and fresh coffee. The owner is lovely and very friendly. Must come again. 10/10",,,,
ChIJwXc0FPAw2jARQpzAh4A9YOU,Beauty Art Cafe',18.748359699999998,98.95875579999999,5.0,1,2018-10-15,good,,,,
ChIJKzgGegAx2jARdyYTCjkFY5I,Daisuki Café,18.7471829,98.9577973,5.0,10,2024-06-05,"Everything on the menu is delicious, and there are cute photo spots too. It has a bit of a Japanese vibe and is located near Hong Jin Tod restaurant. Parking is convenient. The owner is very lovely and friendly.","I go there regularly and everything on the menu is delicious. I highly recommend this restaurant!
It's a small restaurant with cute Japanese-style photo corners.",Everything on the menu is delicious and the prices are affordable. The owner is very kind and the shop is cute.,A cute Japanese-style coffee shop with a bus stop. Delicious coffee. The owner is beautiful and very friendly to customers.,The atmosphere is inviting. I really liked the Japanese menu; I can read Japanese too! They also have Japanese books for children to practice reading. I especially liked the matcha and strawberry drinks. Prices start from 19 to 35 baht.
ChIJvSZS7QYx2jARsuKcbLKSdKQ,น้องกุนน้ำปั่น,18.7471531,98.95786659999999,,,,,,,,
ChIJ5YVJKHYx2jARoLmzY27g18E,Cinema cafe,18.748999899999998,98.9603028,4.9,28,2023-05-26,"I stumbled upon this charming little corner café near the Chiang Mai Traffic Department. The owner is a warm and smiling lady. The café offers not only drinks but also delicious burgers, pizza, and pasta. The atmosphere is delightful with vintage movie posters and board games. There’s a peaceful corner with lush greenery and a small water feature. After enjoying a lovely lunch, I relaxed on the hammock and took a peaceful afternoon nap. A perfect spot to unwind!

Mar 18, 2025","Wonderful place! The owner is incredibly kind and has created a unique café. Chillout music, the sound of a fountain, and lots of greenery make for a relaxing atmosphere. The coffee and Thai tea are absolutely delicious. You can even lay back in a hammock and unwind. It’s conveniently located near the Chiang Mai Provincial Land Transport Office, so I highly recommend stopping by during a break from exams.","Love this place, quite and relaxed 😎",AWSOME,"Visited in December 2025.

The last place I stayed before heading to the airport; it was a lovely place.

It was lunchtime, and many people who seemed to be locals were frequently coming in to buy drinks.

My friends and I each ordered: Iced Thai Milk Tea ($30), Iced Coffee ($35), and Iced Latte ($35). The staff were friendly.

We sat there chatting casually, quietly watching the residents and vehicles passing by in the residential area from our seats on the side; it felt very relaxing and peaceful.

Halfway through our stay, a staff member quietly and proactively brought us a box of tissues from elsewhere and turned on the fan for us; it was very thoughtful."
ChIJ7Tzt0-0w2jAROrH37N3V0-U,Zoomnokgao mae-hia cafe,18.753502900000004,98.95515669999999,5.0,25,2022-07-15,"A hidden gems cafe' where you shouldn't miss. Good taste coffee from a passionated barista and home-made bakery from his mom, very warmth welcome and feel like home. Jazz music from laser disc always best for spending many hours here 😉.",Great place to stop for a coffee and an awesome choice of music! Great vibes,"It is definitely the best coffee shop I have ever been to in Thailand. The owner was very generous and gave us two extra cups of coffee to try. The design of the shop is also very beautiful, and it is worth spending half a day enjoying coffee here",Very chill place. Great coffee and music with nice paintings,"Chill spot, great music playing, comfortable sofas"
